Մարզ,Բնակավայր,Նախկին,Ընտրատարածք,Ընտրատեղամաս,Հասցե
Երևան,Ավան,,1,1/1,"Թիվ 51 մ/մանկապարտեզ, Ավան 6 փ. 52/1 շենք"
Երևան,Ավան,,1,1/2,"Թիվ 51 մ/մանկապարտեզ, Ավան 6 փ. 52/1 շենք"
Երևան,Ավան,,1,1/3,"Թիվ 87 դպրոց, Խուդյակով 44"
Երևան,Ավան,,1,1/4,"Թիվ 87 դպրոց, Խուդյակով 44"
Երևան,Ավան,,1,1/5,"Թիվ 104 դպրոց, Աճառյան 5"
Երևան,Ավան,,1,1/6,"Օհանյանի անվան հիմնական դպրոց, Աճառյան 15"
Երևան,Ավան,,1,1/7,"Թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1մ/շ, 1/14"
Երևան,Ավան,,1,1/8,"Թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1մ/շ, 1/14"
Երևան,Ավան,,1,1/9,"Թիվ 180 դպրոց, Ավան Առինջ թաղ. 2մ/շ"
Երևան,Ավան,,1,1/10,"Թիվ 55 մ/մանկապարտեզ, Ավան Առինջ թաղ. 2մ/շ, 1/6"
Երևան,Ավան,,1,1/11,"Նախկին հ․7մ/մանկապարտեզ, Ավան Առինջ թաղ. 1մ/շ "
Երևան,Ավան,,1,1/12,"Ավանի շախմատի մանկա­պա­տանեկան մարզադպրոց, Նարեկացի թաղամաս 38"
Երևան,Ավան,,1,1/13,"Ավանի մշակույթի տուն, Բաբաջանյան 18/13"
Երևան,Ավան,,1,1/14,"Գ.Բուդաղյանի անվան դպրոց, Թումանյան թաղամաս 3"
Երևան,Ավան,,1,1/15,"Թիվ 170 դպրոց, Թումանյան թաղամաս 3"
Երևան,Ավան,,1,1/16,"Թիվ 52 մ/մանկապարտեզ, Իսահակյան թաղամաս 2/4"
Երևան,Ավան,,1,1/17,"Թիվ 171 դպրոց, Իսահակյան թաղամաս"
Երևան,Ավան,,1,1/18,"Ավանի մանկապատանեկան համալիր մարզադպրոց, Խուդյակով 214"
Երևան,Ավան,,1,1/19,"Գ.Ստարովոյտովայի անվան թիվ 177 դպրոց, Դուրյան թաղամաս 24"
Երևան,Ավան,,1,1/20,"ԵՊՀ մասնաճյուղ, Ծարավ Աղբյուր 55"
Երևան,Ավան,,1,1/21,"Թիվ 54 մ/մանկապարտեզ, Դուրյան թաղամաս 35/1"
Երևան,Ավան,,1,1/22,"Թիվ 57 մ/մանկապարտեզ, Դուրյան թաղամաս 52"
Երևան,Ավան,,1,1/23,"Թիվ 54 մ/մանկապարտեզ, Դուրյան թաղ. 35/1 "
Երևան,Նոր Նորք,,2,2/1,"«Երևանի Ռուդոլֆ Կարապետյանի անվան մանկապատանեկան համալիր մարզադպրոց» ՀՈԱԿ, Նոր Նորքի 3-րդ զանգված, Բաղյան փող., 5/3 շենք"
Երևան,Նոր Նորք,,2,2/2,"Հ.143 հիմնական դպրոց, Բաղյան 5"
Երևան,Նոր Նորք,,2,2/3,"Հ.143 հիմնական դպրոց, Բաղյան 5"
Երևան,Նոր Նորք,,2,2/4,"Ասլամազյանի անվան երաժշտական դպրոց, Գյուլիքեխվյան 6"
Երևան,Նոր Նորք,,2,2/5,"Հ. 107 մանկապարտեզ, Բակունցի 4"
Երևան,Նոր Նորք,,2,2/6,"Հ.150 հիմնական դպրոց, Բակունցի 6"
Երևան,Նոր Նորք,,2,2/7,"Հ. 109 մսուր-մանկապարտեզ, Բակունցի 2-րդ նրբ. 25/4"
Երևան,Նոր Նորք,,2,2/8,"Հ.108 մսուր-մանկապարտեզ, Բակունցի 1-ին նրբ. 7/2"
Երևան,Նոր Նորք,,2,2/9,"Հ.141 հիմնական դպրոց, Գյուլիքեխվյան 27"
