ՏԸՀ N,տեղամաս N,total,part_11,part_14,part_17,part_20
Թիվ 1 ԸԸՀ,1,1934,85,243,401,549
Թիվ 1 ԸԸՀ,2,1933,119,308,434,621
Թիվ 1 ԸԸՀ,3,1932,100,242,361,517
Թիվ 1 ԸԸՀ,4,1956,146,289,431,602
Թիվ 1 ԸԸՀ,5,1845,137,280,454,575
Թիվ 1 ԸԸՀ,6,1846,91,241,380,534
Թիվ 1 ԸԸՀ,7,1491,100,271,405,512
Թիվ 1 ԸԸՀ,8,1445,105,248,353,459
Թիվ 1 ԸԸՀ,9,1556,107,283,418,553
Թիվ 1 ԸԸՀ,10,1813,130,306,451,603
Թիվ 1 ԸԸՀ,11,1803,104,271,451,603
Թիվ 1 ԸԸՀ,12,1763,123,304,405,553
Թիվ 1 ԸԸՀ,13,1717,114,273,412,553
Թիվ 1 ԸԸՀ,14,1812,108,262,469,591
Թիվ 1 ԸԸՀ,15,1709,137,264,373,480
Թիվ 1 ԸԸՀ,16,1311,82,212,312,412
Թիվ 1 ԸԸՀ,17,1377,118,261,368,486
Թիվ 1 ԸԸՀ,18,1840,107,292,483,662
Թիվ 1 ԸԸՀ,19,1712,107,267,446,574
Թիվ 1 ԸԸՀ,20,1962,106,303,494,733
Թիվ 1 ԸԸՀ,21,1468,110,254,398,507
Թիվ 1 ԸԸՀ,22,1571,108,248,368,514
Թիվ 1 ԸԸՀ,23,1234,86,192,306,382
,,,,,,
Ընդ.,23,39030,2530,6114,9373,12575
Թիվ 2 ԸԸՀ,1,1994,116,342,525,685
Թիվ 2 ԸԸՀ,2,1773,119,277,433,556
Թիվ 2 ԸԸՀ,3,1800,124,285,439,592
Թիվ 2 ԸԸՀ,4,1634,119,271,442,602
Թիվ 2 ԸԸՀ,5,1592,94,238,377,502
Թիվ 2 ԸԸՀ,6,1752,95,240,370,516
Թիվ 2 ԸԸՀ,7,1803,97,210,337,433
Թիվ 2 ԸԸՀ,8,1830,125,252,393,532
Թիվ 2 ԸԸՀ,9,1874,119,253,392,507
Թիվ 2 ԸԸՀ,10,1966,154,308,468,606
Թիվ 2 ԸԸՀ,11,1866,98,264,397,555
Թիվ 2 ԸԸՀ,12,1902,162,315,488,609
Թիվ 2 ԸԸՀ,13,1705,110,266,426,542
Թիվ 2 ԸԸՀ,14,1596,98,232,341,434
Թիվ 2 ԸԸՀ,15,1513,81,209,349,437
Թիվ 2 ԸԸՀ,16,1731,92,259,407,533
Թիվ 2 ԸԸՀ,17,1850,124,275,399,519
Թիվ 2 ԸԸՀ,18,1794,99,260,389,534
Թիվ 2 ԸԸՀ,19,1414,98,249,356,484
Թիվ 2 ԸԸՀ,20,1767,167,321,452,611
Թիվ 2 ԸԸՀ,21,1237,50,143,211,295
Թիվ 2 ԸԸՀ,22,956,74,160,208,296
Թիվ 2 ԸԸՀ,23,1821,111,291,432,586
Թիվ 2 ԸԸՀ,24,1679,117,274,424,556
