Car,price,details,post_date
"Hyundai Elantra, 2.0 լ, 2020 թ.","$16,700 ","Գյումրի, 2020 թ., 36,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:43"
"Chevrolet Cruze, 1.4 լ, 2018 թ.","$12,800 ","Էրեբունի, 2018 թ., 211,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:43"
"Mitsubishi Colt հետչբեք, 1.3 լ, 2003 թ.","$4,000 ","Ավան, 2003 թ., 141,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Mercedes-Benz CLS-Class, 3.5 լ, 2006 թ.","$13,500 ","Վանաշեն, 2006 թ., 184,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Nissan Tiida, 1.6 լ, 2011 թ., գազ","$7,000 ","Կենտրոն, 2011 թ., 215,001 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Chevrolet Volt հետչբեք, 1.4 լ, հիբրիդ, 2014 թ.","$12,000 ","Իջևան, 2014 թ., 110,000 կմ, Հիբրիդ","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Dodge Challenger կուպե, 3.6 լ, լիաքարշ, 2020 թ.","$29,000 ","Նոր Նորք, 2020 թ., 40,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Opel Zafira, 1.8 լ, 2003 թ., գազ","$6,400 ","Նորք Մարաշ, 2003 թ., 208,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Chevrolet Cruze, 1.5 լ, 2018 թ.","$11,000 Դիլեր","Իջևան, 2018 թ., 92,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Lexus LX, 5.7 լ, լիաքարշ, 2016 թ.","$86,000 ","Նոր Նորք, 2016 թ., 135,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42"
"Mazda CX-9, 2.5 լ, լիաքարշ, 2021 թ.","$39,000 ","Թալին, 2021 թ., 13,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Kia Forte, 2.0 լ, 2012 թ., գազ","$8,700 ","Աբովյան, 2012 թ., 160,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Nissan Tiida հետչբեք, 1.5 լ, 2005 թ., գազ","$5,500 ","Էրեբունի, 2005 թ., 140,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Toyota Land Cruiser Prado, 4.0 լ, լիաքարշ, 2003 թ., գազ","$18,300 ","Էրեբունի, 2003 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Mercedes-Benz S-Class, 5.0 լ, լիաքարշ, 2012 թ.","$22,500 ","Կենտրոն, 2012 թ., 190,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Opel Astra ունիվերսալ, 1.6 լ, 2000 թ., գազ","$4,800 ","Սպիտակ, 2000 թ., 191,600 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"VAZ (Lada) 2114 հետչբեք, 1.6 լ, 2002 թ., գազ","750,000 ֏ ","Հրազդան, 2002 թ., 332,718 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Mazda 3, 2.5 լ, 2018 թ.","$14,500 ","Կենտրոն, 2018 թ., 55,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Volkswagen Jetta, 2.0 լ, 1999 թ., գազ","$3,900 ","Հրազդան, 1999 թ., 152,301 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Lexus GX, 4.7 լ, լիաքարշ, 2005 թ.","$18,800 ","Արաբկիր, 2005 թ., 200,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Hyundai Sonata, 2.0 լ, 2013 թ., գազ","$10,000 ","Աբովյան, 2013 թ., 130,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"BMW 5 Series, 3.0 լ, 2005 թ., գազ","$8,500 ","Ալավերդի, 2005 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"VAZ (Lada) 2107, 1.7 լ, 2012 թ.","$4,300 ","Ալավերդի, 2012 թ., 65,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"BMW X5, 3.0 լ, լիաքարշ, 2006 թ., գազ","$13,300 ","Ալավերդի, 2006 թ., 150,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Hyundai Grandeur, 3.0 լ, 2011 թ.","$11,000 ","Ավան, 2011 թ., 208,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Honda Accord, 1.5 լ, 2022 թ.","$29,000 ","Ավան, 2022 թ., 7600 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Lexus ES, 3.5 լ, 2016 թ., գազ","$29,500 ","Ավան, 2016 թ., 97,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"BMW X5, 3.0 լ, լիաքարշ, 2001 թ., գազ","$8,000 ","Էրեբունի, 2001 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41"
"Hyundai Elantra, 2.0 լ, 2016 թ., գազ","$12,500 ","Ավան, 2016 թ., 170,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40"
"Hyundai Elantra, 1.8 լ, 2013 թ., գազ","$10,500 ","Քանաքեռ Զեյթուն, 2013 թ., 177,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40"
"Opel Vectra, 1.6 լ, 1998 թ., գազ","$3,300 ","Նոր Հաճըն, 1998 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40"
"Mercedes-Benz S-Class, 5.5 լ, 2007 թ., գազ","$11,000 ","Գյումրի, 2007 թ., 236,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40"
"Nissan X-Trail, 2.0 լ, լիաքարշ, 2014 թ.","$15,000 ","Աբովյան, 2014 թ., 206,706 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:40"
"Opel Astra հետչբեք, 1.8 լ, 1998 թ.","$5,000 ","Աջափնյակ, 1998 թ., 288,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Toyota Land Cruiser Prado, 3.4 լ, լիաքարշ, 1997 թ.","$14,000 Գինը սակարկելի","Կենտրոն, 1997 թ., 300,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Toyota Camry, 2.5 լ, 2021 թ.","$27,000 ","Արմավիր, 2021 թ., 48,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Mitsubishi Pajero Mini, 0.7 լ, 1996 թ.","$2,900 ","Ավան, 1996 թ., 225,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Jeep Compass, 2.4 լ, լիաքարշ, 2018 թ.","$15,400 Լիկվիդացիոն վաճառք","Նոր Նորք, 2018 թ., 67,500 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
"Hyundai Sonata, 2.4 լ, հիբրիդ, 2014 թ., գազ","$10,800 ","Էրեբունի, 2014 թ., 170,000 մղոն, Հիբրիդ","Երեքշաբթի, Ապրիլ 16, 2024 13:39"
