Car,price,details,post_date,mileage,enginetype,city,year,car,engine
"Hyundai Elantra, 2.0 լ, 2020 թ.","$16,700 ","Գյումրի, 2020 թ., 36,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:43",", 36,000 մղո",Բենզին,Գյումրի,2020 ,Hyundai Elantra,2.0 
"Chevrolet Cruze, 1.4 լ, 2018 թ.","$12,800 ","Էրեբունի, 2018 թ., 211,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:43",", 211,000 կ",Բենզին,Էրեբունի,2018 ,Chevrolet Cruze,1.4 
"Mitsubishi Colt հետչբեք, 1.3 լ, 2003 թ.","$4,000 ","Ավան, 2003 թ., 141,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 141,000 կ",Բենզին,Ավան,2003 ,Mitsubishi Colt հետչբեք,1.3 
"Mercedes-Benz CLS-Class, 3.5 լ, 2006 թ.","$13,500 ","Վանաշեն, 2006 թ., 184,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 184,000 կ",Բենզին,Վանաշեն,2006 ,Mercedes-Benz CLS-Class,3.5 
"Nissan Tiida, 1.6 լ, 2011 թ., գազ","$7,000 ","Կենտրոն, 2011 թ., 215,001 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 215,001 կ",Բենզին,Կենտրոն,2011 ,Nissan Tiida,1.6 
"Chevrolet Volt հետչբեք, 1.4 լ, հիբրիդ, 2014 թ.","$12,000 ","Իջևան, 2014 թ., 110,000 կմ, Հիբրիդ","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 110,000 կ",Հիբրիդ,Իջևան,2014 ,Chevrolet Volt հետչբեք,1.4 
"Dodge Challenger կուպե, 3.6 լ, լիաքարշ, 2020 թ.","$29,000 ","Նոր Նորք, 2020 թ., 40,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 40,000 մղո",Բենզին,Նոր Նորք,2020 ,Dodge Challenger կուպե,3.6 
"Opel Zafira, 1.8 լ, 2003 թ., գազ","$6,400 ","Նորք Մարաշ, 2003 թ., 208,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 208,000 կ",Բենզին,Նորք Մարաշ,2003 ,Opel Zafira,1.8 
"Chevrolet Cruze, 1.5 լ, 2018 թ.","$11,000 Դիլեր","Իջևան, 2018 թ., 92,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 92,000 կ",Բենզին,Իջևան,2018 ,Chevrolet Cruze,1.5 
"Lexus LX, 5.7 լ, լիաքարշ, 2016 թ.","$86,000 ","Նոր Նորք, 2016 թ., 135,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:42",", 135,000 կ",Բենզին,Նոր Նորք,2016 ,Lexus LX,5.7 
"Mazda CX-9, 2.5 լ, լիաքարշ, 2021 թ.","$39,000 ","Թալին, 2021 թ., 13,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 13,000 մղո",Բենզին,Թալին,2021 ,Mazda CX-9,2.5 
"Kia Forte, 2.0 լ, 2012 թ., գազ","$8,700 ","Աբովյան, 2012 թ., 160,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 160,000 մղո",Բենզին,Աբովյան,2012 ,Kia Forte,2.0 
"Nissan Tiida հետչբեք, 1.5 լ, 2005 թ., գազ","$5,500 ","Էրեբունի, 2005 թ., 140,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 140,000 կ",Բենզին,Էրեբունի,2005 ,Nissan Tiida հետչբեք,1.5 
"Toyota Land Cruiser Prado, 4.0 լ, լիաքարշ, 2003 թ., գազ","$18,300 ","Էրեբունի, 2003 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 280,000 կ",Բենզին,Էրեբունի,2003 ,Toyota Land Cruiser Prado,4.0 
"Mercedes-Benz S-Class, 5.0 լ, լիաքարշ, 2012 թ.","$22,500 ","Կենտրոն, 2012 թ., 190,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 190,000 կ",Բենզին,Կենտրոն,2012 ,Mercedes-Benz S-Class,5.0 
"Opel Astra ունիվերսալ, 1.6 լ, 2000 թ., գազ","$4,800 ","Սպիտակ, 2000 թ., 191,600 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 191,600 կ",Բենզին,Սպիտակ,2000 ,Opel Astra ունիվերսա,
"VAZ (Lada) 2114 հետչբեք, 1.6 լ, 2002 թ., գազ","750,000 ֏ ","Հրազդան, 2002 թ., 332,718 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 332,718 կ",Բենզին,Հրազդան,2002 ,VAZ (Lada) 2114 հետչբեք,1.6 
"Mazda 3, 2.5 լ, 2018 թ.","$14,500 ","Կենտրոն, 2018 թ., 55,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 55,000 մղո",Բենզին,Կենտրոն,2018 ,Mazda 3,2.5 
"Volkswagen Jetta, 2.0 լ, 1999 թ., գազ","$3,900 ","Հրազդան, 1999 թ., 152,301 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 152,301 կ",Բենզին,Հրազդան,1999 ,Volkswagen Jetta,2.0 
"Lexus GX, 4.7 լ, լիաքարշ, 2005 թ.","$18,800 ","Արաբկիր, 2005 թ., 200,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 200,000 մղո",Բենզին,Արաբկիր,2005 ,Lexus GX,4.7 
"Hyundai Sonata, 2.0 լ, 2013 թ., գազ","$10,000 ","Աբովյան, 2013 թ., 130,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 130,000 կ",Բենզին,Աբովյան,2013 ,Hyundai Sonata,2.0 
"BMW 5 Series, 3.0 լ, 2005 թ., գազ","$8,500 ","Ալավերդի, 2005 թ., 200,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 200,000 կ",Բենզին,Ալավերդի,2005 ,BMW 5 Series,3.0 
"VAZ (Lada) 2107, 1.7 լ, 2012 թ.","$4,300 ","Ալավերդի, 2012 թ., 65,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 65,000 կ",Բենզին,Ալավերդի,2012 ,VAZ (Lada) 2107,1.7 
"BMW X5, 3.0 լ, լիաքարշ, 2006 թ., գազ","$13,300 ","Ալավերդի, 2006 թ., 150,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:41",", 150,000 մղո",Բենզին,Ալավերդի,2006 ,BMW X5,3.0 
